,가격등록일자,품목명,품종명,평균가격,등급명,유통단계별무게,유통단계별단위명,당일최저가격,당일최대가격,가격등록년도
117,2005-02-10,상추,적,1017.0,무농약,100,g,1050,990,2005
118,2005-02-10,상추,청,1190.0,유기농,100,g,1190,1190,2005
119,2005-02-10,상추,청,979.0,무농약,100,g,1050,990,2005
120,2005-02-10,오이,가시계통,3275.0,무농약,10,개,1350,5200,2005
121,2005-02-10,오이,다다기계통,8090.0,유기농,10,개,8000,8180,2005
122,2005-02-10,오이,다다기계통,8000.0,무농약,10,개,8000,8000,2005
123,2005-02-10,오이,다다기계통,9673.0,저농약,10,개,10420,6000,2005
124,2005-02-10,오이,취청,5320.0,무농약,10,개,1780,8860,2005
125,2005-02-10,호박,애호박,8239.0,무농약,1,개,10710,9900,2005
126,2005-02-10,호박,애호박,10720.0,저농약,1,개,10720,10720,2005
127,2005-02-10,토마토,토마토,5000.0,유기농,1,kg,5000,5000,2005
128,2005-02-10,토마토,토마토,16025.0,무농약,1,kg,37800,59000,2005
129,2005-02-10,토마토,토마토,20333.0,저농약,1,kg,4000,53000,2005
130,2005-02-10,딸기,딸기,1213.0,유기농,100,g,1000,1320,2005
131,2005-02-10,딸기,딸기,1207.0,무농약,100,g,1000,580,2005
132,2005-02-10,당근,무세척,4515.0,유기농,1,kg,3500,5560,2005
133,2005-02-10,당근,무세척,3698.0,무농약,1,kg,1300,5000,2005
134,2005-02-10,당근,무세척,4760.0,저농약,1,kg,4760,4760,2005
135,2005-02-10,당근,세척,3960.0,무농약,1,kg,2400,5160,2005
136,2005-02-10,당근,세척,5160.0,저농약,1,kg,5160,5160,2005
137,2005-02-10,풋고추,풋고추,1306.0,유기농,100,g,1000,990,2005
138,2005-02-10,풋고추,풋고추,1565.0,무농약,100,g,1000,2000,2005
139,2005-02-10,풋고추,꽈리고추,1530.0,무농약,100,g,1390,1700,2005
140,2005-02-10,양파,양파,4046.0,무농약,1,kg,10820,5000,2005
141,2005-02-10,파,대파,4514.0,유기농,1,kg,3450,6670,2005
142,2005-02-10,파,대파,6210.0,무농약,1,kg,10900,7330,2005
143,2005-02-10,미나리,미나리,10620.0,무농약,1,kg,10000,9800,2005
144,2005-02-10,깻잎,깻잎,3018.0,유기농,100,g,2400,3900,2005
145,2005-02-10,깻잎,깻잎,2769.0,무농약,100,g,1130,4500,2005
146,2005-02-10,팽이버섯,팽이버섯,679.0,무농약,150,g,1050,747,2005
147,2005-02-10,사과,후지,6445.0,무농약,10,개,5890,7000,2005
148,2005-02-10,사과,후지,6606.0,저농약,10,개,4150,8620,2005
149,2005-02-10,배,신고,4135.0,무농약,10,개,2380,5890,2005
150,2005-02-10,배,신고,5161.0,저농약,10,개,3300,6850,2005
151,2005-02-10,감귤,감귤,3432.0,무농약,10,개,3000,4300,2005
152,2005-02-10,감귤,감귤,3200.0,저농약,10,개,3200,3200,2005
153,2005-02-10,방울토마토,국산,600.0,유기농,1,kg,600,600,2005
154,2005-02-10,방울토마토,국산,620.0,무농약,1,kg,460,990,2005
155,2005-02-10,방울토마토,국산,400.0,저농약,1,kg,400,400,2005
156,2005-02-24,쌀,일반계,43610.0,유기농,10,kg,42500,45000,2005
157,2005-02-24,쌀,일반계,35733.0,무농약,10,kg,32600,51500,2005
158,2005-02-24,쌀,일반계,27500.0,저농약,10,kg,27500,27500,2005
159,2005-02-24,양배추,양배추,4297.0,유기농,1,포기,3000,8000,2005
